library_entry_id,practice_identity,opdb_id,Venue,PM_location_id,Venue Location,Area,AreaOrder,Group,Position,Bank,Game,Variant,Manufacturer,Year,Playfield Image,Rulesheet,Tutorial 1,Tutorial 2,Tutorial 3,Tutorial 4,Gameplay 1,Gameplay 2,Gameplay 3,Gameplay 4,Competition 1,Competition 2,Competition 3,Competition 4
v--8760--GLWll,GLWll,GLWll-M1r8O,The Avenue Cafe,8760,"Lansing, MI",D,2,6,4,4,Jaws,LE,Stern,2024,https://sternpinball.com/wp-content/uploads/2024/01/Jaws-LE-Playfield-adfkj3r.jpg,https://tiltforums.com/t/jaws-rulesheet/8781,https://www.youtube.com/watch?v=zIWTjveC9p4,,,,https://www.youtube.com/watch?v=7fVazJdhf_8,,,,,,,
v--8760--GK17D,GK17D,GK17D-MdEqz,The Avenue Cafe,8760,"Lansing, MI",D,2,6,5,6,Jurassic Park,Pro,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/07/JurassicPark-LE-Playfield.jpg,https://tiltforums.com/t/stern-jurassic-park-rulesheet/5644,https://www.youtube.com/watch?v=vVs_0jqCPGA,,,,https://www.youtube.com/watch?v=ZU6byRKtsZk,,,,,,,
v--8760--G41d5,G41d5,G41d5-M9REd,The Avenue Cafe,8760,"Lansing, MI",D,2,6,6,2,Game of Thrones,LE,Stern,2015,https://o.pinside.com/b/27/84/b27843ac978234bd05ae2a302b0887e3366de366.jpeg,https://tiltforums.com/t/game-of-thrones-pinball-rulesheet/936,https://www.youtube.com/watch?v=XOfVLODSMUA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v--8760--G4do5,G4do5,G4do5-MDlN7,The Avenue Cafe,8760,"Lansing, MI",D,2,7,1,1,Attack from Mars,Remake LE,Bally,1995,https://o.pinside.com/3/47/76/347761a38183898a7fe902139f96794862a0f25d.jpeg,https://www.pinball.org/rules/attackfrommars.html,https://www.youtube.com/watch?v=xri-ffVoPqo,,,,https://www.youtube.com/watch?v=GHujEZBkuis,,,,,,,
v--8760--GD7Ld,GD7Ld,GD7Ld-MBRP4,The Avenue Cafe,8760,"Lansing, MI",D,2,7,2,3,Black Knight: Sword of Rage,LE,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/03/BlackKnight-LE-Playfield-01a.jpg,https://tiltforums.com/t/black-knight-sword-of-rage-rulesheet/5210,https://www.youtube.com/watch?v=i8CZsGEcmBA,,,,https://www.youtube.com/watch?v=musEx6lbttQ,,,,,,,
v--8760--GweeP,GweeP,GweeP-Ml9pZ,The Avenue Cafe,8760,"Lansing, MI",D,2,7,3,,Godzilla,LE,Stern,2021,https://sternpinball.com/wp-content/uploads/2021/09/Godzilla-LE-Playfield-afasdf.jpg,,,,,,,,,,,,,
v--8760--G5pe4,G5pe4,G5pe4-MePZv,The Avenue Cafe,8760,"Lansing, MI",D,2,7,4,5,Medieval Madness,,Williams,1997,https://o.pinside.com/6/3f/ea/63fea245ad8041e4db2684fb1f5f9c5caa5a7890.jpeg,https://www.pinball.org/rules/medievalmadness.html,https://www.youtube.com/watch?v=6wb_x3q3z14,,,,https://www.youtube.com/watch?v=21qTR0o5Lmc,,,,,,,
v--8760--G3EBl,G3EBl,G3EBl-MRj6e,The Avenue Cafe,8760,"Lansing, MI",D,2,7,5,7,Venom,LE,Stern,2023,https://sternpinball.com/wp-content/uploads/2023/07/Venom-LE-Playfield-akjnef.jpg,https://tiltforums.com/t/venom-rulesheet/8503,,,,,https://www.youtube.com/watch?v=4rlIHLyfyVA,,,,,,,
v--8760--Gzy89,Gzy89,Gzy89-M0oPy,The Avenue Cafe,8760,"Lansing, MI",D,2,7,6,8,Stranger Things,LE,Stern,2019,https://sternpinball.com/wp-content/uploads/2019/12/StrangerThings-LE-Playfield-09j4gnjrf.jpg,https://tiltforums.com/t/stranger-things-rulesheet/6093,https://www.youtube.com/watch?v=3PpBgoYxgk4,,,,https://www.youtube.com/watch?v=6cX3kmMY72Y,,,,,,,
